"","BR6MT=RR","BR1YT=RR","BR2YT=RR","BR3YT=RR","",""
"10/31/2022","941.2195","888.25","829.531","996.3775","",""
"9/30/2022","966.931","908.698","826.359","991.628","",""
"8/31/2022","956.175","898.608","815.204","976.025","",""
"7/31/2022","944.516","887.308","800.305","952.697","",""
"6/30/2022","965.887","878.349","792.686","990.984","",""
"5/31/2022","956.178","872.781","790.821","988.865","",""
"4/30/2022","946.763","891.7155","825.48","754.135","",""
"3/31/2022","969.862","911.203","822.476","759.417","",""
"2/28/2022","960.989","903.815","816.99","753.903","",""
"1/31/2022","953.282","897.787","813.953","751.381","",""
"12/31/2021","974.448","917.874","850.875","818.12","",""
"11/30/2021","966.744","910.182","838.829","801.572","",""
"10/31/2021","959.17","901.366","831.268","790.052","",""
"9/30/2021","981.786","938.525","852.714","814.069","",""
"8/31/2021","977.441","937.123","857.015","820.7955","",""
"7/31/2021","973.564","936.154","862.071","828.645","",""
"6/30/2021","987.482","954.461","866.401","834.161","",""
"5/31/2021","984.786","954.702","866.739","834.748","",""
"4/30/2021","982.401","954.547","867.817","835.023","",""
"3/31/2021","979.307","950.021","859.716","824.456","",""
"2/28/2021","990.97","954.923","869.701","836.173","",""
"1/31/2021","990.334","956.64","912.707","848.747","",""
"12/31/2020","989.456","972.134","917.309","855.666","",""
"11/30/2020","992.934","975.515","950.634","863.061","",""
"10/31/2020","990.979","972.273","945.65","858.399","",""
"9/30/2020","989.024","972.479","950.042","867.913","",""
"8/31/2020","986.521","972.012","945.602","876.451","",""
"7/31/2020","991.746","977.898","947.753","885.751","",""
"6/30/2020","989.219","976.849","944.565","872.691","",""
"5/31/2020","992.096","972.268","938.584","864.232","",""
"4/30/2020","987.854","964.202","926.9","844.533","",""
"3/31/2020","984.059","956.679","917.203","831.475","",""
"2/29/2020","986.695","956.011","932.092","896.145","",""
"1/31/2020","983.466","950.284","924.156","885.714","",""
"12/31/2019","989.196","967.811","916.175","873.749","",""
"11/30/2019","985.466","963.408","911.275","868.203","",""
"10/31/2019","982.056","961.483","913.996","875.86","",""
"9/30/2019","987.433","965.216","914.265","856.204","",""
"8/31/2019","982.18","957.621","901.424","839.672","",""
"7/31/2019","976.919","952.561","899.072","839.741","",""
"6/30/2019","984.06","957.254","902.863","857.123","",""
"5/31/2019","979.24","950.578","888.589","837.083","",""
"4/30/2019","973.705","942.502","872.729","818.008","",""
"3/31/2019","968.58","937.5065","868.0345","813.1645","",""
"2/28/2019","980.0985","948.681","879.479","807.8895","",""
"1/31/2019","975.4535","944.6725","876.806","806.5575","",""
"12/31/2018","969.72","937.7065","867.264","791.497","",""
"11/30/2018","979.9785","946.8925","851.365","774.4435","",""
"10/31/2018","974.9895","940.959","842.953","766.069","",""
"9/30/2018","984.264","947.89","861.702","771.121","",""
"8/31/2018","978.8055","940.251","851.607","759.8725","",""
"7/31/2018","973.8545","938.9145","857.84","771.5355","",""
"6/30/2018","984.09","949.5365","866.3975","757.7425","",""
"5/31/2018","978.667","945.7245","869.324","761.2605","",""
"4/30/2018","974.996","945.8055","874.7625","776.221","",""
"3/31/2018","969.9775","941.2265","868.6025","773.941","",""
"2/28/2018","979.06","948.3015","874.4995","756.47","",""
"1/31/2018","974.4205","942.33","863.577","780.57","",""
"12/31/2017","983.866","952.045","877.2255","813.7865","",""
"11/30/2017","978.768","946.3485","866.9215","802.124","",""
"10/31/2017","972.9585","939.87","861.29","799.294","",""
"9/30/2017","982.7015","950.8945","880.164","800.9885","",""
"8/31/2017","976.004","942.236","868.305","786.838","",""
"7/31/2017","967.6955","932.747","858.3605","778.0885","",""
"6/30/2017","958.772","919.922","839.6465","755.2145","",""
"5/31/2017","949.9055","909.9635","827.9715","742.5585","",""
"4/30/2017","960.509","921.967","841.2875","821.827","",""
"3/31/2017","952.4675","912.9995","834.9485","815.29","",""
"2/28/2017","964.7555","922.016","861.9355","803.434","",""
"1/31/2017","956.0295","911.4975","848.9165","788.5885","",""
"12/31/2016","969.244","918.8605","832.2315","768.412","",""
"11/30/2016","959.056","907.4515","817.7085","754.561","",""
"10/31/2016","949.127","897.7305","810.466","752.778","",""
"9/30/2016","968.7375","914.338","823.842","742.831","",""
"8/31/2016","957.755","902.236","808.31","725.5725","",""
"7/31/2016","946.4545","891.856","798.3985","717.0945","",""
"6/30/2016","936.6375","882.352","789.0955","707.808","",""
"5/31/2016","955.7935","899.6965","826.076","732.818","",""
"4/30/2016","945.5795","890.925","819.4795","731.566","",""
"3/31/2016","936.0535","879.146","800.1925","706.1845","",""
"2/29/2016","","894.703","779.781","672.63","",""
"1/31/2016","","884.4415","766.657","658.9005","",""
"12/31/2015","","863.6115","738.674","631.7335","",""
"11/30/2015","","886.3715","760.3645","681.089","",""
"10/31/2015","","877.584","756.033","676.5345","",""
"9/30/2015","","865.389","744.998","667.7785","",""
"8/31/2015","","864.504","757.518","688.672","",""
"7/31/2015","","916.434","836.7675","953.47","",""
"6/30/2015","","904.47","821.681","936.281","",""
"5/31/2015","","897.5115","819.8575","984.9955","",""
"4/30/2015","","889.243","809.6705","966.8995","",""
"3/31/2015","","909.5765","802.8675","956.8315","",""
"2/28/2015","","902.2605","802.1885","961.6265","",""
"1/31/2015","","896.216","798.6985","958.7895","",""
"12/31/2014","","885.307","783.6995","985.653","",""
"11/30/2014","","880.4495","786.762","993.5405","",""
"10/31/2014","","900.5695","777.4145","978.6435","",""
"9/30/2014","","893.935","769.936","966.317","",""
"8/31/2014","","916.3","778.219","990.442","",""
"7/31/2014","","909.0715","761.986","977.6705","",""
"6/30/2014","","900.609","759.213","966.984","",""
"5/31/2014","","915.6365","751.7515","1006.178","",""
"4/30/2014","","905.717","733.5915","984.3965","",""
"3/31/2014","","896.7155","722.7015","971.6555","",""
"2/28/2014","","915.2585","718.8195","966.9615","",""
"1/31/2014","","903.511","700.894","942.77","",""
"12/31/2013","","902.9015","703.6905","945.9665","",""
"11/30/2013","","919.7685","791.1575","986.185","",""
"10/31/2013","","912.8865","793.651","997.789","",""
"9/30/2013","","932.3825","860.2655","992.0575","",""
"8/31/2013","","923.5925","849.328","969.84","",""
"7/31/2013","","922.1005","854.553","989.442","",""
"6/30/2013","","913.18","843.5","975.6005","",""
"5/31/2013","","933.12","854.995","1045.947","",""
"4/30/2013","","931.35","872.32","1065.264","",""
"3/31/2013","","925.605","864.445","1043.0345","",""
"2/28/2013","","938.89","860.49","1048.2435","",""
"1/31/2013","","938.11","862.135","1048.404","",""
"12/31/2012","","932.83","860.74","1053.9615","",""
"11/30/2012","","927.345","853.755","1085.868","",""
"10/31/2012","","938.52","850.1","1083.364","",""
"9/30/2012","","930.1","873.745","1058.065","",""
"8/31/2012","","924.305","866.18","1048.78","",""
"7/31/2012","","937.41","860.395","1042.515","",""
"6/30/2012","","930.095","853.875","1032.1","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
